mz,RT,feature,withMS2
228.940229719573,97.53120000002,f272,0
228.96029835942,67.92529999998,f273,0
228.963618295901,70.59804999998,f274,0
228.968325474694,537.4679,f275,0
228.969294264877,1130.32845,f276,0
228.969260942877,1206.03789999998,f277,0
228.970721997326,539.1912,f278,0
228.994110389339,706.41184999999,f279,0
229.144543030644,997.5106,f280,0
229.974075685693,512.1027,f281,0
230.899934748256,83.6628,f282,0
230.95584398671,92.2302,f283,1
230.986202974587,1108.88720000002,f284,1
230.986198733426,1181.68219999999,f285,0
230.996861565476,356.89300000002,f286,1
231.087406048171,429.54505,f287,1
231.931637952021,8.83939999998,f288,1
232.119004340509,578.87669999998,f289,1
232.924684894522,92.4143,f290,1
232.985432332669,925.32365000001,f291,1
233.048909489867,99.31000000002,f292,0
233.154753933934,1423.4691,f293,1
234.045294390752,99.5957,f294,1
234.13468736752,607.94130000002,f295,1
234.158103311241,1418.32619999998,f296,1
235.041639070432,99.64769999998,f297,1
237.116704919797,1518.81730000002,f298,1
238.964042970051,66.44219999998,f299,0
238.999516257693,539.13160000002,f300,1
239.128918683189,1189.0133,f301,1
239.760334066306,121.39590000001,f302,1
240.002884317206,537.49309999998,f303,0
240.010169298161,87.02780000002,f304,0
240.952665082426,66.45040000002,f305,0
241.054001673908,969.79050000002,f306,0
241.757226006099,116.2531,f307,0
241.758418715502,116.2531,f308,1
242.176169044337,954.27639999998,f309,1
242.929851369302,779.358,f310,1
242.94363924148,71.42329999998,f311,1
243.160209136512,1096.2485,f312,1
243.179510158379,954.47440000002,f313,1
243.755425920714,116.2531,f314,0
244.927792848014,781.4706,f315,1
244.959774356514,97.40689999998,f316,1
244.964006158981,66.21129999998,f317,0
245.093418358022,533.87915,f318,1
245.139480026041,993.3228,f319,1
245.974184245593,65.38354999998,f320,0
246.080339465794,463.59240000001,f321,1
246.944917746927,76.64189999998,f322,0
246.958265421665,66.07125000001,f323,0
246.965357166132,72.11664999998,f324,0
248.077418011969,463.59240000001,f325,0
248.740938546492,121.36780000002,f326,0
248.957498589473,76.56140000001,f327,0
248.960571593151,76.59019999998,f328,0
248.963233996409,72.41800000002,f329,0
248.980344750956,969.5178,f330,0
249.032228355164,943.9389,f331,0
249.963912752063,76.59019999998,f332,0
250.059442759809,98.79410000002,f333,1
250.144973565996,1502.57365,f334,1
250.738970109038,122.96870000002,f335,1
250.964847411514,76.59119999999,f336,0
251.055819720955,99.5957,f337,1
251.132413333515,1616.62259999998,f338,1
252.137220552743,857.2843,f339,1
252.737062012149,123.99540000002,f340,0
252.901354523167,66.04000000002,f341,0
254.100951071809,577.94499999998,f342,1
254.733912607298,121.36780000002,f343,0
254.898422329112,66.35294999998,f344,0
254.905681706585,83.5716,f345,0
254.934519511361,63.37474999999,f346,0
254.966269116576,1073.14750000001,f347,0
255.069703915882,1136.62070000001,f348,1
255.82216746053,93.47329999998,f349,1
256.908337773532,779.358,f350,1
256.964227438868,1073.08739999998,f351,0
256.965653831404,441.93169999998,f352,0
257.139483236621,839.67199999998,f353,1
257.175876781728,1163.3836,f354,1
257.819134843636,93.84730000002,f355,1
258.915984093724,69.35795,f356,1
258.962697686726,441.93169999998,f357,1
259.075686200575,206.80200000002,f358,1
259.129910619429,366.25100000002,f359,1
261.088297790436,205.6963,f360,1
261.134344584693,672.49095,f361,1
261.137503368648,436.4402,f362,1
261.310904275053,537.48344999999,f363,0
262.165992891422,853.67734999999,f364,1
262.870056610389,66.04000000002,f365,0
262.919690467632,744.77155000001,f366,1
262.93017265658,66.27685,f367,1
262.953199811001,92.4143,f368,1
262.97602615555,1058.84655,f369,1
263.059473244305,99.31000000002,f370,0
263.12893134989,1053.9416,f371,0
263.132404222966,1614.41009999998,f372,1
263.930978284718,66.23545000001,f373,0
264.055844813883,98.79410000002,f374,1
264.850531810652,959.67125,f375,1
264.873285307835,790.88169999998,f376,0
264.917584994572,969.5178,f377,1
264.91761229548,644.64940000002,f378,1
264.917653591223,743.5171,f379,1
264.927438718957,66.33145000001,f380,1
264.934530005856,78.2935,f381,0
264.963301137413,66.04000000002,f382,0
264.999895019715,1213.0459,f383,0
264.999910736197,1133.37519999998,f384,1
265.052204371128,99.76454999998,f385,1
265.108169684661,880.54919999999,f386,1
265.144498957207,1703.55929999998,f387,0
265.148040031547,1704.12579999998,f388,1
265.821992927052,857.2843,f389,1
265.928063592651,71.53870000002,f390,0
266.147583828942,1704.12579999998,f391,1
266.1514069064,1703.75175000002,f392,1
266.829829796052,1215.16479999998,f393,1
266.848500221426,961.95550000002,f394,1
266.915528674211,969.57890000001,f395,1
266.915557103658,644.64940000002,f396,0
266.932654433073,78.24520000002,f397,0
266.951963885754,64.58834999999,f398,1
266.958964670793,66.4309,f399,1
266.994440206312,441.80709999998,f400,1
266.999971926193,540.87680000002,f401,0
267.143847865498,1704.12579999998,f402,0
267.152300251858,1703.55929999998,f403,0
267.819938804263,857.68560000002,f404,1
268.147165666636,1702.06939999998,f405,0
268.827774494624,1215.16479999998,f406,1
268.846468278344,961.99005,f407,0
268.947571384369,67.03969999999,f408,1
268.952802640118,79.70435000002,f409,0
268.983018170506,1281.5582,f410,0
269.085301567962,1310.05820000002,f411,1
269.817916287968,857.2843,f412,0
269.831109610303,1210.75689999998,f413,0
270.825739887404,1215.16479999998,f414,0
270.943308240676,66.26369999998,f415,0
270.961163551923,1023.10855,f416,1
271.066970603831,93.38469999998,f417,0
271.155131882547,867.17099999998,f418,1
271.166272064961,437.5172,f419,1
272.89887209184,66.44219999998,f420,1
272.955311499568,66.4309,f421,0
272.958980133587,66.23749999998,f422,1
272.959122116089,1023.28175000001,f423,1
273.959777395611,66.4309,f424,1
273.962301470113,66.35294999998,f425,1
274.956537995549,66.34729999999,f426,0
274.963202518597,65.6893,f427,0
275.088387994971,297.3823,f428,1
275.103923657823,538.33125,f429,1
275.168706939277,1342.48805,f430,1
275.95730665881,66.44065000001,f431,0
275.964212626851,65.11490000002,f432,0
276.850555888612,1046.91,f433,1
276.922018736202,92.43409999999,f434,0
276.954140302339,73.24540000002,f435,0
277.05584743976,99.31000000002,f436,1
277.059581118422,218.47399999998,f437,1
277.144662278039,1549.3434,f438,1
278.052214437631,99.31000000002,f439,0
278.152855284852,954.4743,f440,1
278.848505047927,1071.75990000002,f441,1
278.907760380788,66.4309,f442,1
278.930125805158,93.38469999998,f443,1
279.048547686956,99.31000000002,f444,0
279.163658614626,1792.66350000002,f445,1
280.846478700676,1038.38699999998,f446,0
280.904883062079,67.27920000002,f447,0
280.938236177884,91.73750000002,f448,1
280.940896785742,67.1252,f449,1
280.983043518364,1287.4513,f450,1
281.070086274594,533.01399999998,f451,1
281.142975682132,1534.49000000002,f452,1
281.142950177206,1471.0775,f453,1
281.142906943405,1345.96449999998,f454,0
282.921609556702,81.80580000001,f455,0
282.936531518226,66.90250000001,f456,0
282.989319053728,512.22469999998,f457,0
283.067176767622,533.43895,f458,1
283.101037166421,1424.9473,f459,1
283.709795473219,127.06110000002,f460,1
285.126173369947,1266.18679999998,f461,1
285.707934078134,125.04980000002,f462,1
286.861521431478,85.30119999998,f463,0
286.911940740439,91.82850000002,f464,1
286.920873584044,68.0841,f465,0
286.950816626154,92.4143,f466,1
287.088373309505,219.65039999998,f467,1
287.704505813168,125.04980000002,f468,0
287.971554865043,81.99860000002,f469,0
288.858588556779,83.48589999999,f470,0
288.908931170289,91.48359999998,f471,0
288.936546210085,67.88625,f472,1
289.93736759621,68.0615,f473,0
289.939828102453,70.59640000002,f474,0
290.934090350728,67.19890000002,f475,0
290.942570227104,64.7654,f476,0
291.098887712817,533.87915,f477,1
292.690414165049,125.4277,f478,1
292.69295327084,123.88710000002,f479,0
292.891447299907,91.98385000001,f480,1
292.894801788265,162.04369999998,f481,1
292.937904098063,71.54190000001,f482,0
292.950478605135,76.61279999999,f483,0
292.958222232709,66.1025,f484,1
293.175885734333,1121.35779999999,f485,1
293.175854532323,1206.64105000001,f486,1
293.179332073729,1889.29115,f487,1
293.959032079156,65.44335,f488,0
294.179154796952,1197.63239999998,f489,1
294.182753071499,1890.73690000002,f490,1
294.688360879577,124.4976,f491,1
294.843417494426,1116.3086,f492,0
294.880111480016,66.32109999999,f493,0
294.946873983672,62.4161,f494,1
294.953580118819,71.52220000001,f495,1
294.955781898702,66.3729,f496,1
294.982324828399,1103.38140000002,f497,1
294.985862302373,984.97180000002,f498,1
295.052390509887,206.80200000002,f499,1
295.062931138194,99.31000000002,f500,0
295.064650482409,94.23330000002,f501,1
296.065370715074,183.39459999998,f502,0
296.686329512443,124.63779999998,f503,0
296.877174557145,67.082,f504,0
296.890348553895,83.6758,f505,1
296.935086345304,66.1025,f506,0
296.940713284341,92.47145,f507,1
296.95112812873,71.5006,f508,0
296.958189884643,512.7256,f509,0
297.064965510334,206.80200000002,f510,1
297.153115386001,1792.06020000002,f511,1
298.684279909744,124.19235000001,f512,0
298.871385547397,1421.82955,f513,0
298.887419901316,83.65395000001,f514,0
300.790817586904,832.12750000002,f515,1
300.86929849352,1422.20210000002,f516,1
