mz,RT,feature,Omni14,Omni8,Omni12,Omni3,Omni2,Omni10,Omni13,Omni7,Omni4,Omni11,Omni9,Omni1,Omni15,Omni6,Omni5
455.101806137962,94.14800000002,f1250,9045.219238461,110637.703612793,11617.8306735718,12647.2237611697,0,4936.50956618413,13631.2197953467,719708.867765694,48984.1086410234,4356.52772381281,0,0,5002.61912165955,5994.66209243797,7922.80069567977
455.114363097163,1204.6259,f1251,0,0,0,0,0,0,0,0,22246.2974324708,0,0,0,0,0,0
455.267955245118,1621.387,f1252,299572.229089856,269803.495166202,264778.305663958,280066.531625792,255495.204404026,245001.918926383,231730.874863125,250435.520120939,245219.330057616,217851.345486102,230528.066231199,223318.312872047,218376.56014917,223753.148513436,209848.839025758
455.729696900801,1106.666,f1253,10431.1351030618,19978.8676425131,0,0,9601.8154931665,15936.1542056054,0,0,16721.6801050048,0,26315.5857626112,0,0,0,0
455.729781761559,1177.6204,f1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76742.6453328245
456.105121021251,94.68739999999,f1255,0,12330.061513396,0,0,0,0,0,102382.559697008,2143.53675024435,0,0,0,0,0,0
456.724451903074,1108.65595,f1256,227081.105399474,348218.729472738,67408.3426774592,106661.486693784,237734.193486168,348860.98108538,125973.687165093,51078.1641386298,307066.601968067,0,438687.504298639,0,0,0,0
456.724430031468,1181.68219999999,f1257,0,0,0,0,0,0,0,0,0,0,0,0,91752.5355591688,0,973175.832807889
456.793805196457,1351.82925000002,f1258,0,10477.4203203544,0,0,21370.9961077877,0,0,0,0,0,0,0,0,0,25071.2845604186
456.807945510781,162.22999999998,f1259,74816.655055478,119960.84148913,50430.791198932,95229.422531692,63077.1822762071,39058.4127873315,93798.4354414046,35388.1780029472,53370.1890929775,28554.7678311877,94571.3622548181,47329.5397493515,39453.5441660377,40348.5297452317,102889.730390949
456.92468571466,68.4109,f1260,20425.93135795,128636.878933597,18213.8660664889,15783.4497236505,22296.6285385498,10573.4408665515,17696.866056708,10860.9508985672,17750.7775372379,16328.317743605,30534.4966117814,18339.7573825065,15957.9707943262,22169.7744937334,37302.8938834211
456.972993169554,1560.3916,f1261,38750.0347127194,31801.5760405362,33875.2356669151,33481.2681276579,38927.6307395374,37594.869756948,33154.6774661541,32614.9876992325,30301.5926092791,26526.6202953731,31004.4969959459,27141.8503018187,27603.0068427245,30084.8595923706,24578.0940774754
457.14897790791,1260.3404,f1262,0,15712.4426043914,2615.0375431776,0,51747.1260882427,386599.711958466,0,0,42883.7193265793,0,0,0,380946.097100327,0,3455.80297650956
457.182695482615,786.50410000002,f1263,32206.2078587115,96701.3763336315,120967.5123728,53917.5636496067,161453.407961586,89661.3442646055,83053.7770138208,77912.8457784667,64536.5514023439,81797.0142837491,70980.8209870209,111825.027559717,78464.0973907178,112759.372216486,138939.326772089
457.727767227837,1107.32985000001,f1264,9451.09395603463,16669.8495302909,0,0,14080.2467129414,23259.9364778318,0,0,18004.6591079443,0,28261.1988924316,0,0,0,0
457.727742796827,1177.6204,f1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70819.4568317177
457.866689513517,122.01749999998,f1266,73408.974914051,44930.3074920283,82991.916515092,105414.618509488,125188.58507394,48794.535510132,39943.5705052327,61835.8642723411,130646.254160069,112728.771876318,48290.559551686,159180.334897492,78396.8755547777,86352.2389405221,156784.106830001
457.902001482939,145.0702,f1267,2534.56263632029,26523.1137915279,3179.06397483572,0,4978.93849438476,0,38904.7858623788,0,0,9209.35557566041,0,2839.28578290045,0,0,12821.958838727
458.722539274406,1109.28760000002,f1268,58536.1421456098,100958.668326986,14658.7943023443,27784.7067188597,65777.0979050899,102378.070260867,38712.790114462,5671.01024413854,102389.521321051,0,130402.744992826,0,0,0,0
458.722479032359,1181.68219999999,f1269,0,0,0,0,0,0,0,0,0,0,0,0,27122.2586537834,0,297458.583269441
458.868086192388,75.87420000002,f1270,98723.0898052454,109197.322485364,141307.063779102,101828.049158222,182623.23114128,270649.585411532,89643.2621638415,223981.913522329,219939.491696107,208576.764744496,217645.152795872,182850.106582981,221524.984245614,239741.98809281,170870.248342179
458.869322186719,65.57855,f1271,36683.5713838963,48123.376147151,30446.276475,39589.3345527658,18618.0180888774,24357.4450095231,20485.979811723,13124.0409372089,22177.0877470481,17804.472583998,15439.7673897203,31249.9726269897,15732.6991948532,23512.2450427562,33777.1799414435
459.081703609649,1703.84254999998,f1272,0,0,0,0,0,9618.49256294717,31009.4439581265,12835.68799932,47270.6269015958,2321.92117913067,0,5188.85362228255,15051.6850145906,0,11942.1554119388
459.202423144047,1238.6734,f1273,0,0,0,0,0,0,19863.8643262487,0,0,7653.76007124782,0,0,0,0,0
459.86462034248,124.1516,f1274,46086.8115954649,16981.0195164442,48481.5753420498,69836.369790989,73048.9882496,34559.6212829956,27555.1493206536,45790.8008254673,85842.4506734163,59732.5329566374,29835.965899872,86377.9793666303,54152.6070581968,56162.5004224777,96753.0130431466
460.110326583563,537.5136,f1275,65577.5343308279,55300.3642255167,76567.6352583059,59536.847131138,45692.2866381874,64066.8288321012,54395.8493377268,51093.3723318523,59394.2942848141,76243.3590555824,54231.3441384522,84667.9319933394,66521.7354023433,64580.3171249416,53719.4420249587
460.785291392158,1362.77279999998,f1276,0,8004.82058236003,0,0,24029.2487777689,0,0,0,0,0,0,0,0,0,21165.5061167722
460.865471562166,80.0658,f1277,32431.0432698518,34637.5512377804,52521.1675184662,49448.5805000514,65932.1740171967,54146.0967921894,73027.6638587478,63374.1467631627,107199.720054831,82238.7816973906,85193.9289385096,64144.8777376437,67956.3190101702,57479.9642029134,72491.8238859333
461.113644601725,537.48919999998,f1278,15734.6480465625,1822.47437914461,2039.91248422861,4149.3981795609,6861.94059832776,0,5226.01557110623,3416.12505912781,4530.59441914906,2254.34519869834,3713.91602933407,5593.28066956624,4486.23382184406,3742.44838953018,0
